customer_id,monthly_charges,total_charges,payment_method,outstanding_balance,contract_type
100097,126.05,5519.87,Debit Card,0.0,One Year
100098,143.27,6942.21,UPI,0.0,Month-to-Month
100099,79.76,4951.75,UPI,40.17,One Year
100100,141.38,8966.02,Credit Card,0.0,Month-to-Month
100101,46.27,2089.87,UPI,0.0,Two Year
100102,120.2,6271.64,Bank Transfer,0.0,One Year
100103,134.69,3975.86,Debit Card,71.64,Two Year
100104,80.84,4708.12,Bank Transfer,13.16,Month-to-Month
100105,147.62,6195.53,Credit Card,0.0,Two Year
100106,40.76,1300.77,UPI,0.0,Two Year
100107,108.44,5224.28,Debit Card,0.0,One Year
100108,77.44,5379.42,Debit Card,60.21,One Year
100109,126.14,5094.76,Credit Card,45.85,One Year
100110,78.31,1493.0,Credit Card,0.0,Month-to-Month
100111,52.18,3100.03,Credit Card,0.0,Month-to-Month
100112,50.46,296.67,Credit Card,100.81,Two Year
100113,92.37,2697.06,Bank Transfer,117.86,One Year
100114,43.9,2378.19,Bank Transfer,0.34,Month-to-Month
100115,32.02,1421.78,UPI,79.57,Month-to-Month
100116,110.43,3132.79,Bank Transfer,0.0,Month-to-Month
100117,60.68,3610.62,Bank Transfer,0.0,Two Year
100118,105.1,5186.87,Debit Card,76.05,Month-to-Month
100119,73.61,5073.99,Bank Transfer,8.03,Month-to-Month
100120,88.82,6083.53,Credit Card,0.0,Two Year
100121,144.71,5056.65,Bank Transfer,19.14,Month-to-Month
100122,129.89,288.76,Credit Card,90.82,Month-to-Month
100123,96.31,532.0,Debit Card,0.0,One Year
100124,32.7,535.03,Debit Card,54.88,Month-to-Month
100125,29.56,1402.03,Bank Transfer,13.1,Month-to-Month
100126,78.35,1107.85,Credit Card,63.0,Month-to-Month
100127,38.05,1177.83,Credit Card,47.14,Month-to-Month
100128,20.88,522.02,Debit Card,31.92,Two Year
100129,68.89,2887.79,Credit Card,0.0,Month-to-Month
100130,59.37,3097.15,Debit Card,23.81,Month-to-Month
100131,104.11,1366.4,Debit Card,4.79,Two Year
100132,70.85,5155.67,Bank Transfer,14.99,One Year
100133,76.96,5195.67,UPI,27.38,Month-to-Month
100134,123.71,2623.86,Debit Card,0.0,Month-to-Month
100135,45.62,561.47,Debit Card,59.9,One Year
100136,37.41,784.0,Bank Transfer,4.55,Month-to-Month
100137,38.24,842.44,Credit Card,35.78,Month-to-Month
100138,129.19,6844.81,Credit Card,28.03,Month-to-Month
100139,127.03,1878.82,Credit Card,0.0,Two Year
100140,132.49,7607.9,Bank Transfer,39.83,Two Year
100141,58.04,4019.31,Credit Card,0.0,Two Year
100142,95.07,2995.98,Debit Card,83.31,Month-to-Month
100143,106.34,77.98,Debit Card,52.52,Month-to-Month
100144,119.09,1933.72,Debit Card,111.63,One Year
100145,68.34,900.84,Debit Card,29.41,Month-to-Month
100146,21.05,326.56,Debit Card,4.3,Month-to-Month
100147,65.65,1189.96,Debit Card,0.0,One Year
100148,103.8,4205.43,UPI,31.09,One Year
100149,97.21,4866.16,UPI,0.0,Two Year
100150,48.05,228.67,Debit Card,0.0,Two Year
100151,86.47,1670.04,UPI,17.66,Two Year
100152,116.42,1794.43,Bank Transfer,12.82,Month-to-Month
100153,55.36,798.53,Credit Card,0.0,One Year
100154,51.79,771.2,Bank Transfer,63.87,Month-to-Month
100155,124.56,6075.16,Credit Card,111.67,Two Year
100156,96.92,3778.55,Bank Transfer,14.47,One Year
100157,46.68,2103.86,Credit Card,0.0,Month-to-Month
100158,37.36,2268.23,Credit Card,0.0,Month-to-Month
100159,33.74,327.31,Credit Card,61.01,Month-to-Month
100160,112.45,768.38,Credit Card,6.28,Month-to-Month
100161,127.08,228.61,Credit Card,0.0,One Year
100162,41.84,1813.9,Debit Card,0.0,Two Year
100163,134.76,4308.13,Debit Card,20.96,Month-to-Month
100164,43.38,1915.88,UPI,135.29,Month-to-Month
100165,141.58,1230.95,Bank Transfer,64.47,Month-to-Month
100166,27.3,1112.33,Debit Card,109.44,Month-to-Month
100167,68.57,1391.21,Credit Card,20.38,Month-to-Month
100168,115.42,5268.22,Credit Card,112.49,Month-to-Month
100169,147.71,6285.11,Credit Card,0.0,Two Year
100170,76.97,1061.51,Debit Card,0.0,Month-to-Month
100171,64.44,270.91,Credit Card,21.7,Month-to-Month
100172,146.67,3061.93,UPI,2.1,One Year
100173,23.35,214.37,Credit Card,0.0,Month-to-Month
100174,44.26,2121.92,UPI,24.7,Month-to-Month
100175,134.62,6726.25,Credit Card,51.28,Month-to-Month
100176,148.48,3699.08,Bank Transfer,35.58,Two Year
100177,39.45,2656.47,Credit Card,0.0,One Year
100178,38.7,2382.43,Credit Card,0.0,One Year
100179,59.06,3769.52,UPI,70.06,One Year
100180,112.24,878.6,Credit Card,57.62,One Year
100181,23.97,1412.69,Bank Transfer,92.41,One Year
100182,131.0,4902.97,Bank Transfer,0.0,Month-to-Month
100183,136.41,4026.21,Bank Transfer,0.0,Month-to-Month
100184,63.72,2312.94,UPI,15.59,Month-to-Month
100185,53.73,950.85,Credit Card,82.88,Month-to-Month
100186,81.2,1834.58,Bank Transfer,101.04,One Year
100187,132.63,5056.65,Credit Card,0.0,Two Year
100188,61.13,1632.51,Debit Card,0.0,One Year
100189,75.77,1283.57,Bank Transfer,122.03,Month-to-Month
100190,33.35,967.82,Credit Card,35.06,Month-to-Month
100191,49.16,1178.5,Credit Card,0.0,Month-to-Month
100192,128.7,810.55,Debit Card,0.0,Month-to-Month
100193,86.51,3051.39,Credit Card,54.41,Month-to-Month
100194,50.49,3487.34,Credit Card,50.35,Month-to-Month
100195,133.64,4614.21,UPI,0.0,Month-to-Month
100196,125.95,7115.72,Debit Card,14.6,Month-to-Month
100197,69.37,4272.66,Bank Transfer,59.12,Month-to-Month
100198,88.0,216.12,Bank Transfer,0.0,Month-to-Month
100199,61.68,3913.7,Bank Transfer,26.69,Month-to-Month
