customer_id,internet_package,voice_minutes,data_usage_gb,roaming_minutes,support_calls,streaming_service
100071,Cable,756,408.6,20,3,No
100072,5G,1213,545.9,129,11,Yes
100073,5G,1784,520.4,260,5,Yes
100074,DSL,2496,498.2,192,2,Yes
100075,Cable,1317,431.9,240,3,No
100076,5G,560,678.3,145,1,Yes
100077,Fiber,1585,795.7,114,0,No
100078,DSL,2211,443.6,216,1,No
100079,DSL,1243,577.7,219,0,No
100080,5G,1462,632.9,123,11,Yes
100081,Fiber,875,39.2,22,12,Yes
100082,DSL,1688,355.2,225,6,No
100083,5G,377,263.8,167,10,No
100084,Fiber,705,297.0,15,2,No
100085,5G,2218,463.4,187,6,No
100086,Cable,605,168.1,37,7,Yes
100087,DSL,547,411.9,102,12,Yes
100088,5G,1348,68.3,37,7,No
100089,5G,713,250.3,165,11,Yes
100090,Fiber,1432,145.2,288,0,Yes
100091,Fiber,1713,645.7,152,7,Yes
100092,Cable,2350,302.7,54,5,Yes
100093,Cable,2416,652.6,160,3,Yes
100094,Fiber,1977,707.0,146,8,Yes
100095,DSL,1894,315.2,281,4,Yes
100096,5G,660,420.3,263,2,No
100097,Fiber,159,471.1,242,4,Yes
100098,DSL,2105,171.1,241,11,Yes
100099,DSL,837,492.0,126,4,No
100100,5G,1666,717.7,176,12,Yes
100101,DSL,2453,118.4,122,3,Yes
100102,5G,2005,703.9,102,12,No
100103,5G,813,632.5,148,0,Yes
100104,DSL,107,577.7,172,12,No
100105,5G,1014,216.0,228,12,No
100106,Cable,1555,753.1,113,3,Yes
100107,Fiber,1531,427.3,39,9,Yes
100108,Cable,1907,648.9,67,8,No
100109,Cable,311,344.7,277,0,Yes
100110,DSL,1474,436.0,60,2,No
100111,Fiber,1767,35.5,8,3,Yes
100112,DSL,2409,195.0,163,9,No
100113,5G,1799,504.5,284,7,Yes
100114,DSL,286,646.6,287,6,No
100115,Cable,211,308.0,37,3,Yes
100116,5G,2235,310.7,183,4,No
100117,5G,2316,22.8,299,9,No
100118,Cable,739,397.6,180,2,Yes
100119,Cable,2121,17.2,233,5,Yes
100120,DSL,784,350.2,54,1,Yes
100121,Cable,380,247.0,16,1,No
100122,Fiber,2371,191.5,243,4,Yes
100123,Cable,1275,743.8,83,9,Yes
100124,Cable,1895,511.0,251,3,No
100125,Fiber,1347,594.3,184,1,Yes
100126,Cable,1378,481.6,197,0,No
100127,Fiber,1180,142.1,215,4,No
100128,DSL,2484,274.4,69,4,No
100129,Cable,868,746.3,279,2,Yes
100130,Fiber,2012,792.7,298,6,No
100131,Fiber,1408,773.8,220,1,Yes
100132,5G,1753,92.6,43,1,Yes
100133,DSL,521,45.3,11,5,Yes
100134,DSL,1891,707.6,219,6,Yes
100135,Fiber,1333,426.9,198,9,No
100136,Cable,2492,316.9,70,9,No
100137,Cable,89,693.8,248,2,Yes
100138,Cable,970,35.8,275,4,Yes
100139,Fiber,1857,610.4,279,3,No
100140,DSL,1803,287.0,84,9,Yes
100141,DSL,1735,117.1,30,4,Yes
100142,5G,1700,617.4,263,11,No
100143,5G,1809,182.1,108,7,No
100144,DSL,1919,134.8,0,6,Yes
100145,Fiber,1009,504.2,219,10,Yes
100146,5G,415,190.9,52,1,No
100147,DSL,1862,496.7,111,1,Yes
100148,Cable,1285,679.8,105,8,Yes
100149,5G,590,747.8,198,9,No
100150,Fiber,1751,405.8,216,11,No
100151,DSL,320,318.7,158,11,No
100152,DSL,2192,762.9,264,12,No
100153,DSL,2142,402.0,184,0,No
100154,Cable,1767,37.9,114,5,Yes
100155,Cable,1206,702.8,159,5,Yes
100156,DSL,666,638.8,3,6,Yes
100157,DSL,633,778.3,143,1,Yes
100158,5G,1119,197.0,161,12,No
100159,5G,900,433.4,231,4,No
100160,Fiber,177,792.6,207,7,Yes
100161,DSL,1110,470.0,38,0,Yes
100162,5G,1499,347.1,109,2,No
100163,Cable,866,118.4,269,3,Yes
100164,DSL,2442,428.3,119,2,Yes
100165,DSL,1519,478.1,14,11,No
100166,5G,584,169.2,174,11,Yes
100167,Cable,1371,275.9,69,2,No
100168,DSL,2374,319.4,16,2,No
100169,DSL,1425,659.1,228,0,No
100170,DSL,465,441.4,245,12,Yes
100171,Fiber,431,442.2,173,9,No
100172,DSL,1659,85.8,292,8,No
100173,Cable,523,384.1,157,12,No
100174,Cable,446,58.7,43,10,No
100175,Fiber,2166,406.7,292,10,Yes
100176,5G,324,729.5,44,6,No
100177,5G,2354,740.7,51,12,No
100178,Fiber,251,555.5,243,4,No
100179,DSL,1757,222.8,45,3,No
100180,Fiber,286,168.6,127,0,No
100181,5G,1993,768.8,300,8,No
100182,Cable,1727,222.6,262,0,Yes
100183,Fiber,2182,378.7,203,9,Yes
100184,Fiber,1273,715.0,96,2,Yes
100185,Cable,2393,470.6,97,5,Yes
100186,Cable,960,527.0,181,3,No
100187,5G,846,383.1,256,1,No
100188,DSL,287,257.6,2,7,No
100189,Fiber,107,587.2,164,12,Yes
100190,DSL,2181,239.8,268,5,No
100191,Cable,742,475.9,63,5,Yes
100192,5G,677,384.8,105,11,Yes
100193,5G,868,403.2,134,8,Yes
100194,5G,418,127.8,261,1,Yes
100195,Fiber,524,346.5,48,12,Yes
100196,Fiber,1777,682.0,85,1,Yes
100197,Fiber,2049,391.6,57,6,No
100198,Fiber,658,516.7,285,9,Yes
100199,Cable,1600,444.9,206,3,Yes
