customer_id,age,gender,region,customer_segment,tenure_months
100101,46,Female,West,Consumer,45
100102,39,Female,North,Enterprise,53
100103,52,Male,South,Business,30
100104,59,Female,South,Enterprise,59
100105,23,Female,North,Consumer,42
100106,21,Male,West,Business,31
100107,44,Female,South,Consumer,48
100108,27,Male,East,Enterprise,69
100109,64,Male,West,Business,40
100110,67,Female,East,Business,18
100111,61,Female,West,Consumer,60
100112,33,Male,West,Business,7
100113,44,Female,East,Consumer,29
100114,44,Male,East,Business,54
100115,59,Male,West,Business,43
100116,30,Male,West,Consumer,28
100117,66,Female,South,Business,61
100118,54,Male,West,Enterprise,49
100119,20,Male,North,Consumer,68
100120,53,Female,North,Consumer,69
100121,68,Female,North,Business,35
100122,62,Male,North,Business,2
100123,29,Female,North,Consumer,5
100124,68,Male,East,Consumer,18
100125,23,Female,South,Enterprise,49
100126,26,Male,South,Business,14
100127,54,Male,West,Consumer,32
100128,47,Male,South,Business,26
100129,36,Female,South,Business,41
100130,61,Female,South,Enterprise,53
100131,67,Male,East,Consumer,14
100132,55,Male,West,Business,72
100133,48,Female,West,Consumer,67
100134,39,Female,West,Consumer,21
100135,69,Male,East,Business,14
100136,70,Female,North,Enterprise,23
100137,53,Male,West,Business,23
100138,61,Female,West,Enterprise,53
100139,54,Male,East,Enterprise,15
100140,34,Female,North,Business,58
100141,35,Male,East,Enterprise,69
100142,66,Female,West,Consumer,32
100143,73,Male,West,Enterprise,1
100144,54,Female,East,Enterprise,17
100145,59,Female,East,Consumer,12
100146,55,Male,West,Consumer,17
100147,22,Male,South,Business,19
100148,68,Male,South,Business,41
100149,25,Male,West,Enterprise,50
100150,55,Male,North,Business,3
100151,35,Male,East,Consumer,20
100152,47,Male,East,Enterprise,15
100153,67,Male,East,Business,16
100154,32,Male,North,Consumer,15
100155,25,Male,South,Consumer,48
100156,65,Male,West,Business,39
100157,18,Female,East,Consumer,43
100158,65,Male,North,Enterprise,59
100159,30,Male,North,Consumer,10
100160,31,Female,South,Consumer,6
100161,21,Male,South,Consumer,2
100162,25,Male,West,Consumer,43
100163,59,Female,West,Business,32
100164,54,Female,West,Business,45
100165,66,Male,West,Business,8
100166,29,Female,North,Consumer,40
100167,67,Male,East,Consumer,19
100168,32,Male,West,Business,46
100169,65,Male,South,Business,43
100170,64,Male,North,Business,14
100171,38,Female,North,Consumer,3
100172,21,Male,East,Consumer,21
100173,36,Female,South,Consumer,12
100174,29,Female,West,Business,50
100175,70,Female,West,Enterprise,50
100176,26,Male,West,Consumer,25
100177,68,Female,North,Business,67
100178,20,Male,East,Business,61
100179,72,Male,South,Consumer,63
100180,50,Male,North,Business,8
100181,50,Female,North,Enterprise,60
100182,19,Female,North,Consumer,37
100183,34,Female,East,Business,29
100184,37,Male,West,Consumer,37
100185,64,Male,West,Business,18
100186,71,Male,East,Consumer,22
100187,47,Male,West,Consumer,38
100188,39,Female,West,Consumer,26
100189,57,Female,West,Business,17
100190,62,Female,East,Consumer,29
100191,69,Female,North,Consumer,22
100192,56,Male,North,Enterprise,7
100193,57,Male,West,Consumer,35
100194,49,Male,West,Business,71
100195,47,Male,North,Consumer,34
100196,57,Female,North,Business,57
100197,69,Female,South,Enterprise,62
100198,63,Male,East,Enterprise,2
100199,73,Male,North,Business,64
